Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
1,"--host fct-deei-linux:2",2,2,0.364,0.1,0.077,0.256895,0.000113,0.007671,0.007745
2,"--host fct-deei-linux:2",2,2,0.372,0.1,0.096,0.264286,0.000130,0.007000,0.007651
3,"--host fct-deei-linux:2",2,2,0.36,0.122,0.059,0.263204,0.000089,0.008210,0.008377
4,"--host fct-deei-linux:2",2,2,0.375,0.091,0.099,0.263584,0.000122,0.007335,0.007416
5,"--host fct-deei-linux:2",2,2,0.371,0.091,0.085,0.260882,0.000094,0.004264,0.005030
6,"--host fct-deei-linux:2",2,2,0.363,0.07,0.075,0.257464,0.000065,0.009964,0.011995
7,"--host fct-deei-linux:2",2,2,0.368,0.101,0.063,0.257813,0.000088,0.004813,0.005503
8,"--host fct-deei-linux:2",2,2,0.351,0.072,0.074,0.255658,0.000078,0.003636,0.004012
9,"--host fct-deei-linux:2",2,2,0.364,0.077,0.079,0.250167,0.000140,0.004565,0.004667
10,"--host fct-deei-linux:2",2,2,0.358,0.071,0.089,0.249218,0.000111,0.004274,0.004471
11,"--host fct-deei-linux:2",2,2,0.354,0.111,0.051,0.249236,0.000119,0.004036,0.004272
12,"--host fct-deei-linux:2",2,2,0.37,0.104,0.073,0.258227,0.000125,0.004018,0.005319
13,"--host fct-deei-linux:2",2,2,0.35,0.061,0.079,0.246282,0.000098,0.004233,0.004358
14,"--host fct-deei-linux:2",2,2,0.351,0.074,0.085,0.247590,0.000096,0.004655,0.004731
15,"--host fct-deei-linux:2",2,2,0.356,0.097,0.066,0.247996,0.000139,0.003877,0.004570
16,"--host fct-deei-linux:2",2,2,0.366,0.1,0.058,0.250858,0.000072,0.003441,0.003521
17,"--host fct-deei-linux:2",2,2,0.364,0.081,0.072,0.248038,0.000068,0.003791,0.003883
18,"--host fct-deei-linux:2",2,2,0.367,0.102,0.061,0.260511,0.000068,0.003704,0.003772
19,"--host fct-deei-linux:2",2,2,0.371,0.084,0.089,0.259807,0.000078,0.004758,0.004873
