Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  10:47:33 up 21:15,  2 users,  load average: 2.83, 4.59, 5.22
1,"--host fct-deei-linux:2",2,2,16.013,30.866,0.194,15.447838,0.006440,15.008848,15.038594
2,"--host fct-deei-linux:2",2,2,15.97,30.781,0.194,15.414387,0.006687,14.985397,14.999262
3,"--host fct-deei-linux:2",2,2,15.847,30.539,0.206,15.299814,0.006159,14.875226,14.889145
4,"--host fct-deei-linux:2",2,2,15.95,30.78,0.176,15.407991,0.006170,14.986809,15.000296
5,"--host fct-deei-linux:2",2,2,15.872,30.638,0.184,15.342471,0.006444,14.920241,14.933782
6,"--host fct-deei-linux:2",2,2,29.526,57.883,0.168,28.966078,0.007026,28.417499,28.432768
7,"--host fct-deei-linux:2",2,2,15.962,30.791,0.193,15.418880,0.006521,14.980474,15.004248
8,"--host fct-deei-linux:2",2,2,16.056,30.981,0.192,15.504391,0.006360,15.090773,15.104868
9,"--host fct-deei-linux:2",2,2,29.523,57.829,0.204,28.949157,0.007537,28.403254,28.417947
10,"--host fct-deei-linux:2",2,2,15.94,30.766,0.164,15.388585,0.006341,14.959307,14.979200
11,"--host fct-deei-linux:2",2,2,15.775,30.436,0.171,15.237562,0.006378,14.809775,14.823177
12,"--host fct-deei-linux:2",2,2,15.794,30.402,0.233,15.242488,0.006612,14.749520,14.828206
13,"--host fct-deei-linux:2",2,2,16.381,31.033,0.168,15.843133,0.006335,14.850547,15.439811
14,"--host fct-deei-linux:2",2,2,15.73,30.372,0.166,15.199359,0.006387,14.778549,14.792510
15,"--host fct-deei-linux:2",2,2,15.928,30.666,0.187,15.308659,0.006406,14.890493,14.905079
16,"--host fct-deei-linux:2",2,2,15.777,30.429,0.18,15.240468,0.006547,14.815537,14.829304
17,"--host fct-deei-linux:2",2,2,29.119,57.054,0.181,28.553422,0.007047,28.014313,28.029467
18,"--host fct-deei-linux:2",2,2,15.883,30.628,0.184,15.333211,0.006519,14.899244,14.913410
19,"--host fct-deei-linux:2",2,2,29.314,57.39,0.204,28.721242,0.007376,28.160448,28.176227
20,"--host fct-deei-linux:2",2,2,29.125,57.028,0.237,28.572970,0.007319,28.025365,28.040157
21,"--host fct-deei-linux:2",2,2,15.666,30.205,0.187,15.134588,0.006816,14.684605,14.724419
22,"--host fct-deei-linux:2",2,2,15.875,30.655,0.158,15.341018,0.006482,14.921501,14.935087
23,"--host fct-deei-linux:2",2,2,29.01,56.83,0.181,28.434098,0.006929,27.893217,27.908649
24,"--host fct-deei-linux:2",2,2,15.863,30.596,0.21,15.338378,0.006697,14.922187,14.936178
