Execução,Tempo_real, Tempo_user, Tempo_sys
1,173.61,173.476,0.108
2,175.466,175.346,0.096
3,170.766,170.671,0.072
4,174.299,174.203,0.072
5,176.23,176.103,0.1
6,173.364,173.261,0.076
7,174.326,174.198,0.104
8,172.718,172.598,0.096
9,173.54,173.434,0.084
10,173.631,173.516,0.088
11,174.416,174.271,0.116
12,173.285,173.161,0.1
13,176.502,176.402,0.072
14,175.83,175.711,0.092
15,174.13,174.009,0.096
16,176.711,176.634,0.052
17,176.506,176.403,0.08
18,174.512,174.133,0.096
19,172.807,172.705,0.08
20,173.729,173.608,0.092
21,176.115,176,0.092
22,173.858,173.724,0.112
23,176.227,176.108,0.096
24,176.705,176.354,0.116
25,176.658,176.549,0.084
26,175.639,175.511,0.104
27,173.862,173.755,0.084
28,172.962,172.841,0.092
29,176.172,176.027,0.12
30,173.656,173.554,0.076
Média,174.608,174.475,0.0916
Total,5238.23,5234.24,2.748
