Execução,Configuração,np,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  17:23:35 up  3:09, 22 users,  load average: 0.84, 4.59, 5.21
1,"--host fct-deei-linux:2",2,0.884,0.798,0.123,0.778504,0.000578,0.319928,0.488087
2,"--host fct-deei-linux:2",2,0.667,0.67,0.109,0.556933,0.000512,0.274401,0.275577
3,"--host fct-deei-linux:2",2,0.666,0.663,0.105,0.553374,0.000587,0.268662,0.269945
4,"--host fct-deei-linux:2",2,0.666,0.649,0.118,0.548670,0.000518,0.266673,0.268010
5,"--host fct-deei-linux:2",2,0.669,0.687,0.082,0.562598,0.000508,0.265926,0.267099
6,"--host fct-deei-linux:2",2,0.683,0.681,0.104,0.565163,0.000530,0.268097,0.269251
7,"--host fct-deei-linux:2",2,0.667,0.675,0.092,0.554904,0.000616,0.267388,0.269031
8,"--host fct-deei-linux:2",2,0.675,0.68,0.09,0.562016,0.000549,0.262612,0.264326
9,"--host fct-deei-linux:2",2,0.671,0.672,0.097,0.564474,0.000606,0.268936,0.271778
10,"--host fct-deei-linux:2",2,0.672,0.653,0.117,0.552293,0.000528,0.262886,0.264100
11,"--host fct-deei-linux:2",2,0.678,0.669,0.116,0.561840,0.000527,0.274241,0.277176
12,"--host fct-deei-linux:2",2,0.93,1.201,0.088,0.817004,0.000641,0.523542,0.525142
13,"--host fct-deei-linux:2",2,0.672,0.67,0.098,0.555959,0.000547,0.266955,0.268155
14,"--host fct-deei-linux:2",2,0.673,0.672,0.106,0.562927,0.000606,0.270102,0.271419
15,"--host fct-deei-linux:2",2,0.924,1.183,0.101,0.807351,0.000634,0.513615,0.515065
16,"--host fct-deei-linux:2",2,0.681,0.709,0.08,0.563116,0.000544,0.274334,0.275597
17,"--host fct-deei-linux:2",2,0.669,0.673,0.096,0.557125,0.000498,0.264482,0.266078
18,"--host fct-deei-linux:2",2,0.669,0.664,0.116,0.558448,0.000656,0.269299,0.270612
19,"--host fct-deei-linux:2",2,0.69,0.71,0.088,0.571289,0.000476,0.281929,0.283085
20,"--host fct-deei-linux:2",2,0.673,0.673,0.103,0.551996,0.000476,0.264057,0.265166
21,"--host fct-deei-linux:2",2,0.663,0.654,0.105,0.552968,0.000645,0.263969,0.265238
22,"--host fct-deei-linux:2",2,0.681,0.69,0.09,0.562971,0.000552,0.269645,0.270948
23,"--host fct-deei-linux:2",2,0.671,0.688,0.07,0.552808,0.000482,0.262902,0.264165
24,"--host fct-deei-linux:2",2,0.682,0.699,0.084,0.562035,0.000645,0.265811,0.267720
25,"--host fct-deei-linux:2",2,0.655,0.681,0.075,0.545853,0.000540,0.263013,0.264451
26,"--host fct-deei-linux:2",2,0.682,0.712,0.071,0.559614,0.000527,0.271313,0.272584
27,"--host fct-deei-linux:2",2,0.661,0.653,0.105,0.553064,0.000496,0.262482,0.263876
28,"--host fct-deei-linux:2",2,0.66,0.659,0.096,0.539522,0.000624,0.261544,0.262786
29,"--host fct-deei-linux:2",2,0.67,0.652,0.119,0.558160,0.000626,0.265291,0.266599
30,"--host fct-deei-linux:2",2,0.661,0.646,0.098,0.554851,0.000595,0.261523,0.262771
Uptime depois da execução:  17:23:58 up  3:09, 22 users,  load average: 1.11, 4.35, 5.11
Média,"--host fct-deei-linux:2",2,0.6955,0.712867,0.0980667,0.581597,0.0005623,0.285851,0.292862
Uptime antes da execução:  17:23:58 up  3:09, 22 users,  load average: 1.11, 4.35, 5.11
1,"--host fct-deei-linux:3",3,0.578,0.72,0.112,0.470817,0.000723,0.176049,0.177342
