Execução,Tempo_real, Tempo_user, Tempo_sys
Uptime antes da execução:  18:24:53 up  4:10, 13 users,  load average: 0.75, 1.81, 3.80
1,0.083,0.078,0.004
2,0.085,0.081,0.004
3,0.082,0.082,0
4,0.084,0.084,0.001
5,0.083,0.083,0
6,0.086,0.082,0.004
7,0.084,0.084,0
8,0.087,0.087,0
9,0.086,0.086,0
10,0.079,0.079,0
11,0.081,0.077,0.004
12,0.089,0.088,0
13,0.078,0.077,0.001
14,0.082,0.078,0.004
15,0.082,0.082,0
16,0.084,0.08,0.004
17,0.084,0.083,0
18,0.083,0.083,0
19,0.083,0.083,0.001
20,0.078,0.078,0
21,0.079,0.08,0
22,0.078,0.074,0.004
23,0.077,0.073,0.004
24,0.082,0.078,0.004
25,0.08,0.08,0
26,0.087,0.075,0.012
27,0.08,0.08,0
28,0.082,0.074,0.008
29,0.082,0.077,0.004
30,0.084,0.079,0.004
Média,0.0824667,0.0801667,0.00223333
Total,2.474,2.405,0.067
Uptime depois da execução:  18:24:57 up  4:10, 13 users,  load average: 0.77, 1.80, 3.78
