Tamanho_Matriz,Threads,Media_Tempo_real,Desvio_Tempo_real,Tempo_Sequencial,Speedup,Eficiência (%)
256,2,0.08473333333333335,0.007065864192128885,0.0824667,0.9732498033044844,48.66249016522422
256,4,0.043500000000000004,0.004811982170976229,0.0824667,1.8957862068965516,47.39465517241379
256,6,0.0454,0.0037194734517967316,0.0824667,1.8164471365638766,30.274118942731278
256,8,0.07086666666666666,0.005412204174177882,0.0824667,1.1636881467544686,14.546101834430857
256,10,0.0495,0.005580578567035602,0.0824667,1.6659939393939394,16.659939393939393
512,2,0.4839666666666667,0.04165993968685799,0.574467,1.1869970383635235,59.34985191817618
512,4,0.21783333333333335,0.0052462356509927355,0.574467,2.6371859219586837,65.9296480489671
512,6,0.2783333333333333,0.02207718955960144,0.574467,2.0639532934131735,34.399221556886225
512,8,0.33893333333333336,0.020475272442856414,0.574467,1.6949262391817463,21.18657798977183
512,10,0.2266,0.004657955745188864,0.574467,2.5351588702559575,25.351588702559575
1024,2,2.9908666666666677,0.3151164791030435,4.50377,1.5058411162873633,75.29205581436817
1024,4,1.3738666666666666,0.05504840085580696,4.50377,3.278171098602485,81.95427746506212
1024,6,1.6156666666666666,0.03763649488364234,4.50377,2.7875613781720654,46.459356302867754
1024,8,1.8520666666666665,0.0368079201871791,4.50377,2.4317537165688785,30.39692145711098
1024,10,1.3958333333333333,0.01541849165961026,4.50377,3.226581492537314,32.265814925373135
2048,2,19.119266666666668,0.5416519389686568,36.0703,1.8865943254448392,94.32971627224195
2048,4,10.394433333333332,0.8556984113952577,36.0703,3.470155499898985,86.75388749747462
2048,6,11.920033333333333,1.3181555944820658,36.0703,3.026023417160467,50.43372361934112
2048,8,11.964933333333331,1.9330720045338825,36.0703,3.0146678627544947,37.68334828443118
2048,10,10.090333333333335,0.5401651939745927,36.0703,3.574738198275577,35.74738198275577
