MatrixSize,Threads,Tempo Médio (s),T1,Speedup,Eficiência (%)
256,2,0.0847333,0.0847333,1.0,50.0
256,4,0.0435,0.0847333,1.9478919540229886,48.69729885057472
256,6,0.0454,0.0847333,1.866372246696035,31.106204111600583
256,8,0.0708667,0.0847333,1.195671591876015,14.945894898450188
512,2,0.483967,0.483967,1.0,50.0
512,4,0.217833,0.483967,2.2217340806948442,55.543352017371106
512,6,0.278333,0.483967,1.7388056752163774,28.980094586939625
512,8,0.338933,0.483967,1.4279134814255325,17.848918517819158
512,10,0.2266,0.483967,2.135776699029126,21.35776699029126
1024,2,2.99087,2.99087,1.0,50.0
1024,4,1.37387,2.99087,2.1769672530879927,54.42418132719982
1024,6,1.61567,2.99087,1.8511639134229145,30.852731890381907
1024,8,1.85207,2.99087,1.6148795671869853,20.185994589837318
1024,10,1.39583,2.99087,2.1427179527592903,21.427179527592905
2048,2,19.1193,19.1193,1.0,50.0
2048,4,10.3944,19.1193,1.8393846686677442,45.98461671669361
2048,6,11.92,19.1193,1.603968120805369,26.73280201342282
2048,8,11.9649,19.1193,1.5979490008274202,19.974362510342754
2048,10,10.0903,19.1193,1.894819777409988,18.948197774099878
