Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  17:12:38 up  2:58, 25 users,  load average: 8.51, 6.26, 4.40
1,0.304,0.605,0,0.244425
2,0.31,0.593,0.008,0.250227
3,0.336,0.606,0.012,0.275029
4,0.313,0.599,0.008,0.253911
5,0.346,0.624,0.008,0.283189
6,0.328,0.614,0,0.267788
7,0.336,0.598,0.012,0.275825
8,0.311,0.613,0,0.250385
9,0.359,0.604,0.004,0.299039
10,0.345,0.607,0.008,0.278316
11,0.359,0.629,0,0.281889
12,0.341,0.61,0.004,0.278893
13,0.364,0.605,0.016,0.302933
14,0.365,0.607,0.004,0.304230
15,0.339,0.608,0,0.280351
16,0.335,0.598,0.012,0.274585
17,0.346,0.614,0,0.282150
18,0.358,0.606,0.012,0.295201
19,0.327,0.621,0,0.265841
20,0.34,0.594,0.004,0.280955
21,0.351,0.595,0,0.291520
22,0.337,0.598,0.008,0.268155
23,0.337,0.605,0.008,0.276294
24,0.381,0.633,0.008,0.318023
25,0.31,0.594,0.008,0.249635
26,0.317,0.611,0,0.256396
27,0.375,0.604,0,0.316337
28,0.306,0.603,0.008,0.246024
29,0.344,0.603,0,0.283220
30,0.348,0.608,0.004,0.288249
Média,0.338933,0.606967,0.0052,0.2773
Total,10.168,18.209,0.156,8.319
Uptime depois da execução:  17:12:49 up  2:58, 25 users,  load average: 8.82, 6.40, 4.47
