Executando: MPI np=2, OMP=2 threads, matriz 256x256
Executando: MPI np=2, OMP=4 threads, matriz 256x256
Executando: MPI np=2, OMP=6 threads, matriz 256x256
Executando: MPI np=2, OMP=8 threads, matriz 256x256
Executando: MPI np=3, OMP=2 threads, matriz 256x256
Executando: MPI np=3, OMP=4 threads, matriz 256x256
Executando: MPI np=3, OMP=6 threads, matriz 256x256
Executando: MPI np=3, OMP=8 threads, matriz 256x256
Executando: MPI np=4, OMP=2 threads, matriz 256x256
Executando: MPI np=4, OMP=4 threads, matriz 256x256
Executando: MPI np=4, OMP=6 threads, matriz 256x256
Executando: MPI np=4, OMP=8 threads, matriz 256x256
Executando: MPI np=5, OMP=2 threads, matriz 256x256
Executando: MPI np=5, OMP=4 threads, matriz 256x256
Executando: MPI np=5, OMP=6 threads, matriz 256x256
Executando: MPI np=5, OMP=8 threads, matriz 256x256
Executando: MPI np=6, OMP=2 threads, matriz 256x256
Executando: MPI np=6, OMP=4 threads, matriz 256x256
Executando: MPI np=6, OMP=6 threads, matriz 256x256
Executando: MPI np=6, OMP=8 threads, matriz 256x256
Executando: MPI np=2, OMP=2 threads, matriz 512x512
Executando: MPI np=2, OMP=4 threads, matriz 512x512
Executando: MPI np=2, OMP=6 threads, matriz 512x512
Executando: MPI np=2, OMP=8 threads, matriz 512x512
Executando: MPI np=3, OMP=2 threads, matriz 512x512
Executando: MPI np=3, OMP=4 threads, matriz 512x512
Executando: MPI np=3, OMP=6 threads, matriz 512x512
Executando: MPI np=3, OMP=8 threads, matriz 512x512
Executando: MPI np=4, OMP=2 threads, matriz 512x512
Executando: MPI np=4, OMP=4 threads, matriz 512x512
Executando: MPI np=4, OMP=6 threads, matriz 512x512
Executando: MPI np=4, OMP=8 threads, matriz 512x512
Executando: MPI np=5, OMP=2 threads, matriz 512x512
Executando: MPI np=5, OMP=4 threads, matriz 512x512
Executando: MPI np=5, OMP=6 threads, matriz 512x512
Executando: MPI np=5, OMP=8 threads, matriz 512x512
Executando: MPI np=6, OMP=2 threads, matriz 512x512
Executando: MPI np=6, OMP=4 threads, matriz 512x512
Executando: MPI np=6, OMP=6 threads, matriz 512x512
Executando: MPI np=6, OMP=8 threads, matriz 512x512
Executando: MPI np=2, OMP=2 threads, matriz 1024x1024
Executando: MPI np=2, OMP=4 threads, matriz 1024x1024
Executando: MPI np=2, OMP=6 threads, matriz 1024x1024
Executando: MPI np=2, OMP=8 threads, matriz 1024x1024
Executando: MPI np=3, OMP=2 threads, matriz 1024x1024
Executando: MPI np=3, OMP=4 threads, matriz 1024x1024
Executando: MPI np=3, OMP=6 threads, matriz 1024x1024
Executando: MPI np=3, OMP=8 threads, matriz 1024x1024
Executando: MPI np=4, OMP=2 threads, matriz 1024x1024
Executando: MPI np=4, OMP=4 threads, matriz 1024x1024
Executando: MPI np=4, OMP=6 threads, matriz 1024x1024
Executando: MPI np=4, OMP=8 threads, matriz 1024x1024
Executando: MPI np=5, OMP=2 threads, matriz 1024x1024
Executando: MPI np=5, OMP=4 threads, matriz 1024x1024
Executando: MPI np=5, OMP=6 threads, matriz 1024x1024
Executando: MPI np=5, OMP=8 threads, matriz 1024x1024
Executando: MPI np=6, OMP=2 threads, matriz 1024x1024
Executando: MPI np=6, OMP=4 threads, matriz 1024x1024
Executando: MPI np=6, OMP=6 threads, matriz 1024x1024
Executando: MPI np=6, OMP=8 threads, matriz 1024x1024
Executando: MPI np=2, OMP=2 threads, matriz 2048x2048
Executando: MPI np=2, OMP=4 threads, matriz 2048x2048
Executando: MPI np=2, OMP=6 threads, matriz 2048x2048
Executando: MPI np=2, OMP=8 threads, matriz 2048x2048
Executando: MPI np=3, OMP=2 threads, matriz 2048x2048
Executando: MPI np=3, OMP=4 threads, matriz 2048x2048
