Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
1,"--host fct-deei-linux:2",2,2,0.391,0.098,0.09,0.273618,0.000050,0.011746,0.011778
2,"--host fct-deei-linux:2",2,2,0.35,0.078,0.081,0.249598,0.000055,0.000914,0.000952
3,"--host fct-deei-linux:2",2,2,0.363,0.051,0.124,0.256464,0.000063,0.000632,0.000909
4,"--host fct-deei-linux:2",2,2,0.352,0.092,0.07,0.252184,0.000056,0.000625,0.000663
5,"--host fct-deei-linux:2",2,2,0.357,0.102,0.07,0.252414,0.000096,0.000558,0.000917
6,"--host fct-deei-linux:2",2,2,0.358,0.072,0.089,0.247557,0.000056,0.000536,0.001345
7,"--host fct-deei-linux:2",2,2,0.353,0.085,0.078,0.254861,0.000083,0.000497,0.001127
8,"--host fct-deei-linux:2",2,2,0.364,0.083,0.095,0.257196,0.000091,0.000656,0.001192
9,"--host fct-deei-linux:2",2,2,0.36,0.095,0.086,0.252875,0.000089,0.001428,0.001476
10,"--host fct-deei-linux:2",2,2,0.344,0.066,0.098,0.244593,0.000053,0.000550,0.001180
11,"--host fct-deei-linux:2",2,2,0.374,0.088,0.058,0.253977,0.000059,0.000600,0.000675
12,"--host fct-deei-linux:2",2,2,0.35,0.086,0.061,0.248634,0.000068,0.000511,0.000864
13,"--host fct-deei-linux:2",2,2,0.346,0.07,0.084,0.249467,0.000054,0.000471,0.000666
14,"--host fct-deei-linux:2",2,2,0.366,0.106,0.063,0.259317,0.000053,0.000611,0.000651
15,"--host fct-deei-linux:2",2,2,0.344,0.096,0.061,0.250894,0.000078,0.000629,0.001088
16,"--host fct-deei-linux:2",2,2,0.381,0.083,0.096,0.255213,0.000078,0.001116,0.001189
17,"--host fct-deei-linux:2",2,2,0.361,0.098,0.08,0.254802,0.000069,0.001419,0.001449
18,"--host fct-deei-linux:2",2,2,0.354,0.092,0.078,0.248499,0.000082,0.000689,0.001054
19,"--host fct-deei-linux:2",2,2,0.353,0.097,0.064,0.247044,0.000051,0.001390,0.001437
20,"--host fct-deei-linux:2",2,2,0.352,0.07,0.099,0.250146,0.000055,0.000536,0.001337
21,"--host fct-deei-linux:2",2,2,0.358,0.069,0.099,0.250480,0.000054,0.000492,0.000799
22,"--host fct-deei-linux:2",2,2,0.365,0.08,0.088,0.258823,0.000059,0.001172,0.001233
23,"--host fct-deei-linux:2",2,2,0.367,0.067,0.101,0.260136,0.000070,0.000540,0.000918
24,"--host fct-deei-linux:2",2,2,0.352,0.082,0.076,0.247403,0.000082,0.000832,0.000925
25,"--host fct-deei-linux:2",2,2,0.36,0.078,0.1,0.254562,0.000078,0.000616,0.000690
26,"--host fct-deei-linux:2",2,2,0.351,0.085,0.082,0.246714,0.000049,0.000498,0.000535
27,"--host fct-deei-linux:2",2,2,0.36,0.091,0.079,0.257284,0.000063,0.000495,0.001027
28,"--host fct-deei-linux:2",2,2,0.353,0.08,0.095,0.247098,0.000069,0.000859,0.000904
29,"--host fct-deei-linux:2",2,2,0.353,0.082,0.086,0.246029,0.000054,0.000503,0.000669
30,"--host fct-deei-linux:2",2,2,0.359,0.099,0.073,0.254407,0.000053,0.000655,0.000697
1,"--host fct-deei-linux:3",3,2,0.402,0.156,0.107,0.289346,0.000106,0.008354,0.008421
2,"--host fct-deei-linux:3",3,2,0.387,0.141,0.122,0.284129,0.010223,0.003328,0.015449
3,"--host fct-deei-linux:3",3,2,0.394,0.13,0.129,0.287023,0.003805,0.003837,0.012153
4,"--host fct-deei-linux:3",3,2,0.38,0.124,0.089,0.272414,0.012937,0.006654,0.010436
5,"--host fct-deei-linux:3",3,2,0.372,0.069,0.132,0.271054,0.001090,0.005726,0.005783
6,"--host fct-deei-linux:3",3,2,0.399,0.132,0.121,0.283249,0.007367,0.004337,0.009266
7,"--host fct-deei-linux:3",3,2,0.402,0.146,0.087,0.282518,0.013698,0.006242,0.011191
8,"--host fct-deei-linux:3",3,2,0.388,0.109,0.099,0.270788,0.002021,0.003552,0.007129
9,"--host fct-deei-linux:3",3,2,0.4,0.177,0.082,0.290797,0.019648,0.006060,0.006143
10,"--host fct-deei-linux:3",3,2,0.378,0.143,0.092,0.273772,0.009024,0.003617,0.009675
11,"--host fct-deei-linux:3",3,2,0.397,0.147,0.127,0.293805,0.013879,0.003350,0.013147
12,"--host fct-deei-linux:3",3,2,0.386,0.134,0.111,0.278510,0.000112,0.003854,0.005524
13,"--host fct-deei-linux:3",3,2,0.414,0.188,0.097,0.302512,0.019684,0.006963,0.007040
14,"--host fct-deei-linux:3",3,2,0.417,0.177,0.13,0.306713,0.009811,0.003387,0.031798
15,"--host fct-deei-linux:3",3,2,0.393,0.139,0.123,0.287314,0.006601,0.000231,0.016281
16,"--host fct-deei-linux:3",3,2,0.391,0.153,0.093,0.275119,0.003615,0.004633,0.008818
17,"--host fct-deei-linux:3",3,2,0.393,0.177,0.087,0.282652,0.007813,0.005353,0.005425
18,"--host fct-deei-linux:3",3,2,0.419,0.173,0.085,0.281541,0.007834,0.005768,0.005823
19,"--host fct-deei-linux:3",3,2,0.41,0.183,0.105,0.302550,0.011913,0.012184,0.028188
20,"--host fct-deei-linux:3",3,2,0.419,0.217,0.063,0.306037,0.015977,0.008118,0.032093
21,"--host fct-deei-linux:3",3,2,0.375,0.105,0.094,0.267731,0.000097,0.003622,0.010585
22,"--host fct-deei-linux:3",3,2,0.37,0.103,0.094,0.259909,0.000094,0.005124,0.006409
23,"--host fct-deei-linux:3",3,2,0.378,0.108,0.107,0.271434,0.000097,0.008044,0.008094
24,"--host fct-deei-linux:3",3,2,0.376,0.114,0.091,0.265180,0.001637,0.004620,0.010732
25,"--host fct-deei-linux:3",3,2,0.386,0.113,0.104,0.264241,0.004526,0.005429,0.005529
26,"--host fct-deei-linux:3",3,2,0.38,0.135,0.087,0.266920,0.000113,0.005411,0.006945
27,"--host fct-deei-linux:3",3,2,0.387,0.103,0.089,0.266769,0.011043,0.004204,0.004700
28,"--host fct-deei-linux:3",3,2,0.385,0.132,0.095,0.272921,0.000132,0.003755,0.003882
29,"--host fct-deei-linux:3",3,2,0.369,0.1,0.107,0.263312,0.000070,0.001687,0.006111
30,"--host fct-deei-linux:3",3,2,0.387,0.153,0.091,0.281419,0.005984,0.003485,0.017517
1,"--host fct-deei-linux:4",4,2,0.442,0.179,0.145,0.331952,0.016600,0.015702,0.040055
2,"--host fct-deei-linux:4",4,2,0.399,0.166,0.122,0.288754,0.016270,0.009958,0.011712
3,"--host fct-deei-linux:4",4,2,0.416,0.233,0.069,0.312156,0.005736,0.000336,0.025555
4,"--host fct-deei-linux:4",4,2,0.389,0.164,0.127,0.284455,0.010099,0.001687,0.007396
5,"--host fct-deei-linux:4",4,2,0.407,0.216,0.117,0.304193,0.003708,0.003974,0.030393
6,"--host fct-deei-linux:4",4,2,0.38,0.126,0.128,0.278708,0.001338,0.001871,0.007454
7,"--host fct-deei-linux:4",4,2,0.402,0.187,0.119,0.293238,0.007511,0.015219,0.018568
8,"--host fct-deei-linux:4",4,2,0.382,0.158,0.088,0.283733,0.007071,0.007968,0.016024
9,"--host fct-deei-linux:4",4,2,0.42,0.165,0.115,0.310461,0.010240,0.021244,0.032046
10,"--host fct-deei-linux:4",4,2,0.414,0.228,0.104,0.300353,0.015825,0.009199,0.017172
11,"--host fct-deei-linux:4",4,2,0.393,0.141,0.147,0.277380,0.007803,0.003307,0.007005
12,"--host fct-deei-linux:4",4,2,0.398,0.149,0.128,0.294815,0.000233,0.002962,0.019992
13,"--host fct-deei-linux:4",4,2,0.397,0.182,0.099,0.282005,0.005903,0.007486,0.020305
14,"--host fct-deei-linux:4",4,2,0.434,0.203,0.129,0.319587,0.004187,0.003390,0.040056
15,"--host fct-deei-linux:4",4,2,0.424,0.144,0.08,0.281669,0.000237,0.005231,0.010220
16,"--host fct-deei-linux:4",4,2,0.437,0.259,0.113,0.319653,0.023571,0.018506,0.036148
17,"--host fct-deei-linux:4",4,2,0.407,0.191,0.103,0.297369,0.004730,0.003467,0.027983
18,"--host fct-deei-linux:4",4,2,0.392,0.15,0.118,0.283837,0.000240,0.003506,0.019394
19,"--host fct-deei-linux:4",4,2,0.407,0.218,0.108,0.302382,0.006287,0.004649,0.021929
20,"--host fct-deei-linux:4",4,2,0.395,0.182,0.088,0.280930,0.000231,0.008384,0.008811
21,"--host fct-deei-linux:4",4,2,0.425,0.124,0.126,0.308187,0.013846,0.004224,0.011555
22,"--host fct-deei-linux:4",4,2,0.363,0.125,0.124,0.274240,0.004815,0.005041,0.005563
23,"--host fct-deei-linux:4",4,2,0.411,0.184,0.095,0.288031,0.008052,0.001677,0.011486
24,"--host fct-deei-linux:4",4,2,0.403,0.208,0.114,0.301772,0.014809,0.006728,0.030742
25,"--host fct-deei-linux:4",4,2,0.419,0.245,0.089,0.313971,0.019738,0.003619,0.024041
26,"--host fct-deei-linux:4",4,2,0.408,0.22,0.091,0.308685,0.011830,0.002185,0.012713
27,"--host fct-deei-linux:4",4,2,0.395,0.18,0.121,0.293256,0.009364,0.004298,0.019905
28,"--host fct-deei-linux:4",4,2,0.405,0.146,0.119,0.299211,0.013032,0.010778,0.011117
29,"--host fct-deei-linux:4",4,2,0.413,0.193,0.123,0.304678,0.006817,0.001723,0.016328
30,"--host fct-deei-linux:4",4,2,0.43,0.249,0.091,0.309318,0.023424,0.003269,0.024074
1,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.758,0.464,0.355,2.289460,0.016122,0.008827,0.011544
2,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.801,0.472,0.455,2.313237,0.035631,0.001353,0.011152
3,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.786,0.53,0.44,2.323437,0.016828,0.004049,0.013095
4,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.741,0.446,0.371,2.296709,0.020340,0.005317,0.009925
5,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.751,0.382,0.383,2.301025,0.020598,0.001783,0.010164
6,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.798,0.496,0.39,2.338849,0.036386,0.000325,0.030724
7,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.797,0.409,0.43,2.323852,0.011413,0.003131,0.010837
8,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.775,0.466,0.455,2.319199,0.030882,0.005553,0.008723
9,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.776,0.424,0.417,2.295397,0.020824,0.007467,0.007826
10,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.778,0.432,0.497,2.312024,0.020722,0.003962,0.013228
11,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.796,0.451,0.485,2.335205,0.036460,0.000183,0.029687
12,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.804,0.498,0.43,2.333507,0.035657,0.006023,0.018468
13,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.81,0.455,0.428,2.317229,0.023114,0.000266,0.028053
14,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.835,0.501,0.444,2.318791,0.026158,0.006731,0.019759
15,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.819,0.588,0.393,2.302377,0.018725,0.010314,0.010540
16,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.87,0.418,0.357,2.321087,0.023676,0.004498,0.027346
17,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.798,0.37,0.401,2.327824,0.030550,0.005284,0.013435
18,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.861,0.462,0.382,2.364667,0.026672,0.016910,0.036076
19,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.805,0.472,0.503,2.303325,0.035329,0.006801,0.009330
20,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.779,0.461,0.364,2.306482,0.036369,0.008780,0.009496
21,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.845,0.395,0.36,2.330586,0.027503,0.002225,0.008184
22,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.838,0.381,0.485,2.315758,0.030268,0.001894,0.007787
23,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.781,0.445,0.444,2.303544,0.030915,0.001477,0.009426
24,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.8,0.392,0.418,2.305357,0.030535,0.006716,0.011812
25,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.787,0.569,0.516,2.291148,0.015127,0.007207,0.011583
26,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.772,0.684,0.446,2.307833,0.014574,0.008232,0.031816
27,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.795,0.557,0.48,2.318315,0.031449,0.002477,0.013418
28,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.767,0.583,0.471,2.296551,0.011459,0.001682,0.010601
29,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.766,0.566,0.564,2.295295,0.022987,0.000713,0.009013
30,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.781,0.441,0.476,2.304150,0.030600,0.001990,0.009898
1,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.812,0.664,0.485,2.317637,0.033723,0.006253,0.013413
2,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.8,0.532,0.449,2.324277,0.026239,0.005947,0.015104
3,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.81,0.622,0.535,2.316414,0.029643,0.004162,0.015294
4,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.789,0.627,0.441,2.303688,0.025696,0.007382,0.010120
5,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.781,0.623,0.399,2.308751,0.017705,0.001283,0.012847
6,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.808,0.578,0.577,2.337240,0.036900,0.000168,0.025588
7,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.789,0.524,0.565,2.323354,0.027747,0.005512,0.013570
8,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.782,0.507,0.5,2.312635,0.022381,0.010253,0.014947
9,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.801,0.615,0.496,2.314375,0.014338,0.001857,0.026899
10,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.816,0.633,0.535,2.320039,0.029299,0.010325,0.027997
11,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.802,0.653,0.497,2.324134,0.027375,0.003183,0.019435
12,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.81,0.644,0.563,2.314828,0.021486,0.015729,0.019724
13,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.817,0.563,0.465,2.323744,0.022287,0.007615,0.015118
14,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.815,0.502,0.555,2.321172,0.021756,0.002139,0.013304
15,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.824,0.623,0.397,2.315957,0.033595,0.007424,0.013058
16,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.864,0.671,0.55,2.363412,0.055387,0.015472,0.029392
17,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.873,0.719,0.44,2.359512,0.051596,0.008584,0.022423
18,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.812,0.573,0.454,2.318853,0.034802,0.003530,0.008619
19,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.859,0.617,0.584,2.331198,0.029944,0.001602,0.028236
20,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.787,0.64,0.521,2.330232,0.030162,0.005251,0.030532
21,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.776,0.598,0.487,2.304743,0.017430,0.004744,0.014034
22,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.817,0.572,0.491,2.323012,0.013822,0.007553,0.024264
23,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.808,0.61,0.441,2.322306,0.039300,0.001329,0.012385
24,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.835,0.644,0.51,2.329565,0.023253,0.006429,0.016376
25,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.808,0.527,0.518,2.306679,0.016184,0.006768,0.010952
26,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.786,0.691,0.487,2.317234,0.030815,0.001414,0.013861
27,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.89,0.66,0.536,2.364593,0.027759,0.005198,0.037206
28,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.804,0.688,0.513,2.311962,0.022377,0.003767,0.017727
29,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.802,0.595,0.554,2.325320,0.026115,0.012414,0.022964
30,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.856,0.469,0.428,2.331852,0.028942,0.003459,0.014899
1,"--host fct-deei-linux:1",1,4,0.371,0.057,0.071,0.243032,0.000002,0.001967,0.001993
2,"--host fct-deei-linux:1",1,4,0.346,0.043,0.068,0.242068,0.000002,0.002664,0.002688
3,"--host fct-deei-linux:1",1,4,0.351,0.048,0.05,0.243911,0.000001,0.001117,0.001131
1,"--host fct-deei-linux:2",2,2,0.36,0.041,0.1,0.258191,0.000063,0.000720,0.000760
2,"--host fct-deei-linux:2",2,2,0.363,0.09,0.074,0.258447,0.000068,0.000567,0.001188
3,"--host fct-deei-linux:2",2,2,0.353,0.066,0.09,0.246584,0.000067,0.000500,0.000557
1,"--host fct-deei-linux:4",4,1,0.421,0.187,0.131,0.306186,0.016709,0.000245,0.020397
2,"--host fct-deei-linux:4",4,1,0.4,0.093,0.129,0.291616,0.000550,0.000992,0.003405
3,"--host fct-deei-linux:4",4,1,0.379,0.145,0.082,0.271767,0.002348,0.000287,0.000785
1,"--host fct-deei-linux:1 --host fct-deei-aval:1",2,4,2.788,0.115,0.115,2.283836,0.012398,0.000666,0.001876
2,"--host fct-deei-linux:1 --host fct-deei-aval:1",2,4,2.809,0.125,0.128,2.267427,0.015048,0.007824,0.007887
3,"--host fct-deei-linux:1 --host fct-deei-aval:1",2,4,2.862,0.123,0.097,2.292603,0.019590,0.012271,0.012332
1,"--host fct-deei-linux:2 --host fct-deei-aval:1",3,2,2.807,0.241,0.255,2.302597,0.026100,0.000764,0.008015
2,"--host fct-deei-linux:2 --host fct-deei-aval:1",3,2,2.844,0.318,0.294,2.305195,0.011551,0.000853,0.022936
3,"--host fct-deei-linux:2 --host fct-deei-aval:1",3,2,2.82,0.309,0.252,2.308701,0.015106,0.003711,0.011635
