Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  15:37:04 up 1 day, 14:22, 19 users,  load average: 9.10, 9.57, 9.68
1,"--host fct-deei-linux:2",2,2,2.943,3.686,0.122,2.580773,0.009743,2.193550,2.218992
2,"--host fct-deei-linux:2",2,2,2.891,3.712,0.082,2.585082,0.003797,2.207825,2.269108
3,"--host fct-deei-linux:2",2,2,3.162,3.826,0.105,2.892320,0.005738,2.514183,2.524713
4,"--host fct-deei-linux:2",2,2,3.286,3.726,0.123,3.013769,0.004117,2.636836,2.685278
5,"--host fct-deei-linux:2",2,2,3.185,3.777,0.103,2.917794,0.003617,2.549130,2.622613
6,"--host fct-deei-linux:2",2,2,3.192,3.787,0.081,2.847426,0.003519,2.497717,2.505436
7,"--host fct-deei-linux:2",2,2,3.145,3.747,0.088,2.749260,0.003508,2.414032,2.421611
8,"--host fct-deei-linux:2",2,2,2.892,3.753,0.091,2.526595,0.004128,2.207247,2.211861
9,"--host fct-deei-linux:2",2,2,2.914,3.721,0.136,2.621912,0.001905,2.244905,2.258977
10,"--host fct-deei-linux:2",2,2,3.271,3.866,0.123,2.970394,0.014349,2.552035,2.581335
11,"--host fct-deei-linux:2",2,2,3.366,3.773,0.131,3.098586,0.003274,2.754197,2.790443
12,"--host fct-deei-linux:2",2,2,3.349,3.845,0.16,3.053599,0.004136,2.706078,2.712626
13,"--host fct-deei-linux:2",2,2,3.352,3.807,0.119,2.976054,0.003756,2.613938,2.621166
14,"--host fct-deei-linux:2",2,2,3.198,3.732,0.112,2.782347,0.004765,2.441780,2.450212
15,"--host fct-deei-linux:2",2,2,3.295,3.74,0.17,2.867727,0.003442,2.407680,2.566528
16,"--host fct-deei-linux:2",2,2,3.117,3.819,0.126,2.759925,0.010500,2.394090,2.402386
17,"--host fct-deei-linux:2",2,2,2.992,3.774,0.122,2.707467,0.003498,2.356197,2.363726
18,"--host fct-deei-linux:2",2,2,2.947,3.669,0.106,2.667904,0.001750,2.230209,2.258326
19,"--host fct-deei-linux:2",2,2,3.2,3.672,0.089,2.975610,0.003383,2.638564,2.646090
20,"--host fct-deei-linux:2",2,2,3.33,3.883,0.111,3.040230,0.003585,2.683818,2.692061
21,"--host fct-deei-linux:2",2,2,3.202,3.752,0.113,2.940899,0.003298,2.474231,2.640642
22,"--host fct-deei-linux:2",2,2,3.06,3.673,0.103,2.817403,0.003709,2.475248,2.484199
23,"--host fct-deei-linux:2",2,2,3.199,3.75,0.121,2.791099,0.005330,2.422905,2.448131
24,"--host fct-deei-linux:2",2,2,3.122,3.801,0.103,2.691395,0.003842,2.337436,2.345092
25,"--host fct-deei-linux:2",2,2,2.855,3.708,0.078,2.614454,0.009887,2.262056,2.269134
26,"--host fct-deei-linux:2",2,2,2.931,3.68,0.075,2.618029,0.020601,2.229758,2.234391
27,"--host fct-deei-linux:2",2,2,3.107,3.837,0.103,2.857282,0.012407,2.446576,2.467911
28,"--host fct-deei-linux:2",2,2,3.211,3.781,0.099,2.961813,0.002251,2.410494,2.611521
29,"--host fct-deei-linux:2",2,2,3.219,3.764,0.056,2.925668,0.003459,2.583611,2.590630
30,"--host fct-deei-linux:2",2,2,3.191,3.733,0.128,2.907544,0.021768,2.595794,2.600443
Uptime depois da execução:  15:38:45 up 1 day, 14:23, 19 users,  load average: 10.49, 9.92, 9.79
Média,"--host fct-deei-linux:2",2,2,3.137467,3.759800,0.109300,2.825343,0.006102,2.449400,2.483177
Uptime antes da execução:  15:38:48 up 1 day, 14:24, 19 users,  load average: 10.69, 9.97, 9.81
1,"--host fct-deei-linux:2",2,4,2.701,3.906,0.11,2.409256,0.011103,2.056545,2.060976
2,"--host fct-deei-linux:2",2,4,2.784,3.967,0.082,2.529494,0.001791,2.197843,2.203802
3,"--host fct-deei-linux:2",2,4,2.867,3.747,0.129,2.465093,0.004169,1.981087,2.143798
4,"--host fct-deei-linux:2",2,4,2.531,3.717,0.09,2.258780,0.003483,1.908878,1.914362
5,"--host fct-deei-linux:2",2,4,2.934,4.055,0.102,2.647088,0.001883,2.243864,2.253777
6,"--host fct-deei-linux:2",2,4,2.68,3.723,0.096,2.385774,0.005529,1.852451,2.021625
7,"--host fct-deei-linux:2",2,4,3.023,3.857,0.09,2.562153,0.004359,1.804061,2.231896
8,"--host fct-deei-linux:2",2,4,2.659,3.855,0.116,2.400403,0.003292,2.081896,2.087815
9,"--host fct-deei-linux:2",2,4,2.667,3.716,0.101,2.362954,0.018693,1.992261,1.999069
10,"--host fct-deei-linux:2",2,4,2.72,3.823,0.113,2.460335,0.004730,2.120793,2.129075
11,"--host fct-deei-linux:2",2,4,2.663,3.768,0.143,2.404098,0.003515,2.046522,2.053519
12,"--host fct-deei-linux:2",2,4,2.471,3.647,0.113,2.219951,0.003826,1.861999,1.873587
13,"--host fct-deei-linux:2",2,4,2.784,3.919,0.098,2.506537,0.005180,2.131603,2.142019
14,"--host fct-deei-linux:2",2,4,2.717,3.781,0.112,2.420437,0.003724,2.075874,2.081650
15,"--host fct-deei-linux:2",2,4,2.421,3.736,0.092,2.195828,0.003437,1.867452,1.874378
16,"--host fct-deei-linux:2",2,4,2.557,3.733,0.112,2.284095,0.003448,1.930739,1.938454
17,"--host fct-deei-linux:2",2,4,2.792,3.888,0.144,2.543035,0.005067,2.170915,2.180436
18,"--host fct-deei-linux:2",2,4,2.824,3.81,0.139,2.584281,0.003782,2.086184,2.232457
19,"--host fct-deei-linux:2",2,4,2.675,3.887,0.102,2.420963,0.002897,2.082740,2.090777
20,"--host fct-deei-linux:2",2,4,2.501,3.704,0.089,2.261928,0.003762,1.896765,1.904120
21,"--host fct-deei-linux:2",2,4,2.813,3.972,0.097,2.585265,0.005611,2.228007,2.236841
22,"--host fct-deei-linux:2",2,4,2.661,3.859,0.078,2.291553,0.009469,1.952845,1.958805
23,"--host fct-deei-linux:2",2,4,2.452,3.761,0.102,2.213378,0.014242,1.828258,1.849743
24,"--host fct-deei-linux:2",2,4,2.617,3.809,0.094,2.363232,0.003432,2.012084,2.019361
25,"--host fct-deei-linux:2",2,4,3.048,4.227,0.143,2.812194,0.003433,2.474661,2.481996
26,"--host fct-deei-linux:2",2,4,2.646,3.716,0.144,2.274183,0.003435,1.899820,1.946969
