Executando com configuração: --host fct-deei-linux:2 e np=2
Execução 1: Configuração=--host fct-deei-linux:2, np=2, real=0.392, user=0.09, sys=0.036, total=0.265584, bcast_scatterv=0.000016, computacao=0.000000, gatherv=0.000058
Execução 2: Configuração=--host fct-deei-linux:2, np=2, real=0.352, user=0.054, sys=0.063, total=0.243001, bcast_scatterv=0.000015, computacao=0.000000, gatherv=0.000086
Execução 3: Configuração=--host fct-deei-linux:2, np=2, real=0.391, user=0.057, sys=0.05, total=0.250980, bcast_scatterv=0.000017, computacao=0.000000, gatherv=0.000179
Execução 4: Configuração=--host fct-deei-linux:2, np=2, real=0.4, user=0.034, sys=0.068, total=0.255894, bcast_scatterv=0.000016, computacao=0.000000, gatherv=0.000121
Execução 5: Configuração=--host fct-deei-linux:2, np=2, real=0.36, user=0.067, sys=0.067, total=0.252756, bcast_scatterv=0.000019, computacao=0.000000, gatherv=0.000176
Execução 6: Configuração=--host fct-deei-linux:2, np=2, real=0.416, user=0.033, sys=0.071, total=0.257098, bcast_scatterv=0.000016, computacao=0.000000, gatherv=0.000222
Execução 7: Configuração=--host fct-deei-linux:2, np=2, real=0.386, user=0.02, sys=0.082, total=0.251247, bcast_scatterv=0.000015, computacao=0.000000, gatherv=0.000138
Execução 8: Configuração=--host fct-deei-linux:2, np=2, real=0.38, user=0.059, sys=0.066, total=0.254612, bcast_scatterv=0.000017, computacao=0.000000, gatherv=0.000104
Execução 9: Configuração=--host fct-deei-linux:2, np=2, real=0.392, user=0.059, sys=0.047, total=0.253546, bcast_scatterv=0.000017, computacao=0.000000, gatherv=0.000095
Execução 10: Configuração=--host fct-deei-linux:2, np=2, real=0.399, user=0.037, sys=0.071, total=0.260343, bcast_scatterv=0.000017, computacao=0.000000, gatherv=0.000140
Execução 11: Configuração=--host fct-deei-linux:2, np=2, real=0.411, user=0.057, sys=0.073, total=0.260546, bcast_scatterv=0.000015, computacao=0.000000, gatherv=0.000060
Execução 12: Configuração=--host fct-deei-linux:2, np=2, real=0.338, user=0.052, sys=0.062, total=0.243053, bcast_scatterv=0.000017, computacao=0.000000, gatherv=0.000178
Execução 13: Configuração=--host fct-deei-linux:2, np=2, real=0.392, user=0.062, sys=0.042, total=0.254182, bcast_scatterv=0.000019, computacao=0.000000, gatherv=0.000065
Execução 14: Configuração=--host fct-deei-linux:2, np=2, real=0.419, user=0.051, sys=0.052, total=0.257878, bcast_scatterv=0.000016, computacao=0.000000, gatherv=0.000062
Execução 15: Configuração=--host fct-deei-linux:2, np=2, real=0.355, user=0.076, sys=0.056, total=0.250505, bcast_scatterv=0.000019, computacao=0.000000, gatherv=0.000155
Execução 16: Configuração=--host fct-deei-linux:2, np=2, real=0.415, user=0.049, sys=0.058, total=0.256483, bcast_scatterv=0.000017, computacao=0.000000, gatherv=0.000178
Execução 17: Configuração=--host fct-deei-linux:2, np=2, real=0.392, user=0.048, sys=0.056, total=0.254166, bcast_scatterv=0.000017, computacao=0.000000, gatherv=0.000105
Execução 18: Configuração=--host fct-deei-linux:2, np=2, real=0.397, user=0.048, sys=0.089, total=0.251886, bcast_scatterv=0.000020, computacao=0.000001, gatherv=0.000303
Execução 19: Configuração=--host fct-deei-linux:2, np=2, real=0.36, user=0.069, sys=0.035, total=0.244359, bcast_scatterv=0.000016, computacao=0.000000, gatherv=0.000061
Execução 20: Configuração=--host fct-deei-linux:2, np=2, real=0.395, user=0.036, sys=0.065, total=0.250681, bcast_scatterv=0.000017, computacao=0.000000, gatherv=0.000061
Execução 21: Configuração=--host fct-deei-linux:2, np=2, real=0.387, user=0.062, sys=0.053, total=0.251237, bcast_scatterv=0.000018, computacao=0.000000, gatherv=0.000046
Execução 22: Configuração=--host fct-deei-linux:2, np=2, real=0.35, user=0.069, sys=0.053, total=0.247937, bcast_scatterv=0.000015, computacao=0.000000, gatherv=0.000141
Execução 23: Configuração=--host fct-deei-linux:2, np=2, real=0.411, user=0.046, sys=0.058, total=0.258931, bcast_scatterv=0.000016, computacao=0.000000, gatherv=0.000047
Execução 24: Configuração=--host fct-deei-linux:2, np=2, real=0.391, user=0.037, sys=0.066, total=0.250015, bcast_scatterv=0.000015, computacao=0.000000, gatherv=0.000081
Execução 25: Configuração=--host fct-deei-linux:2, np=2, real=0.358, user=0.067, sys=0.061, total=0.247462, bcast_scatterv=0.000016, computacao=0.000000, gatherv=0.000102
Execução 26: Configuração=--host fct-deei-linux:2, np=2, real=0.407, user=0.062, sys=0.044, total=0.258307, bcast_scatterv=0.000021, computacao=0.000000, gatherv=0.000098
