Execução,Configuração,np,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  17:35:41 up  3:21, 20 users,  load average: 2.09, 2.75, 3.79
1,"--host fct-deei-linux:2",2,17.976,34.892,0.164,17.867849,0.006235,17.071814,17.085313
2,"--host fct-deei-linux:2",2,18.153,35.055,0.181,18.047378,0.006308,17.211323,17.224373
3,"--host fct-deei-linux:2",2,18.346,35.585,0.161,18.229083,0.006121,17.417597,17.431243
4,"--host fct-deei-linux:2",2,17.937,34.758,0.185,17.831240,0.006304,17.017393,17.038255
5,"--host fct-deei-linux:2",2,18.221,35.251,0.231,18.107045,0.006346,17.264738,17.278225
6,"--host fct-deei-linux:2",2,18.196,35.188,0.168,18.082338,0.006272,17.259050,17.272028
7,"--host fct-deei-linux:2",2,18.3,35.513,0.178,18.191902,0.006376,17.372546,17.385873
8,"--host fct-deei-linux:2",2,18.386,35.575,0.201,18.274947,0.006444,17.461853,17.474919
9,"--host fct-deei-linux:2",2,18.217,35.202,0.202,18.104073,0.006634,17.290879,17.303804
10,"--host fct-deei-linux:2",2,34.376,66.537,0.205,34.258411,0.007448,32.982892,33.335013
11,"--host fct-deei-linux:2",2,18.429,35.716,0.207,18.319824,0.006205,17.492806,17.506289
12,"--host fct-deei-linux:2",2,18.417,35.661,0.236,18.311137,0.006355,17.469416,17.502243
13,"--host fct-deei-linux:2",2,18.319,35.483,0.147,18.209018,0.006176,17.404986,17.418402
14,"--host fct-deei-linux:2",2,18.079,35.048,0.172,17.970206,0.006347,17.142139,17.155223
15,"--host fct-deei-linux:2",2,17.887,34.612,0.23,17.778208,0.006354,16.959567,16.972641
16,"--host fct-deei-linux:2",2,17.943,34.755,0.215,17.834137,0.006459,17.011850,17.024978
17,"--host fct-deei-linux:2",2,18.06,35.015,0.175,17.938463,0.005957,17.124634,17.143091
18,"--host fct-deei-linux:2",2,34.586,68,0.165,34.469057,0.006940,33.509767,33.524407
19,"--host fct-deei-linux:2",2,18.503,35.745,0.224,18.393682,0.006615,17.556778,17.570491
20,"--host fct-deei-linux:2",2,18.864,36.188,0.192,18.748247,0.006460,17.836059,17.849542
21,"--host fct-deei-linux:2",2,18.449,35.752,0.208,18.334356,0.006469,17.491342,17.526377
22,"--host fct-deei-linux:2",2,18.584,36.061,0.187,18.479406,0.006386,17.654811,17.668410
23,"--host fct-deei-linux:2",2,18.336,35.551,0.205,18.223335,0.006315,17.408710,17.422368
24,"--host fct-deei-linux:2",2,18.366,35.617,0.162,18.250350,0.006306,17.422417,17.435943
25,"--host fct-deei-linux:2",2,18.244,35.386,0.166,18.135056,0.006249,17.309079,17.322850
26,"--host fct-deei-linux:2",2,18.485,35.863,0.213,18.379943,0.006377,17.493810,17.582922
27,"--host fct-deei-linux:2",2,18.183,35.253,0.171,18.075364,0.006142,17.253544,17.267116
28,"--host fct-deei-linux:2",2,18.761,35.848,0.177,18.654451,0.006146,17.269851,17.872224
29,"--host fct-deei-linux:2",2,18.353,35.627,0.176,18.242906,0.006655,17.443958,17.457844
30,"--host fct-deei-linux:2",2,18.229,35.345,0.185,18.108972,0.006477,17.302382,17.315487
Uptime depois da execução:  17:45:24 up  3:31, 15 users,  load average: 2.09, 2.13, 2.94
Média,"--host fct-deei-linux:2",2,19.3728,37.5363,0.189633,19.2616,0.00639593,18.397,18.4455
Uptime antes da execução:  17:45:24 up  3:31, 15 users,  load average: 2.09, 2.13, 2.94
1,"--host fct-deei-linux:3",3,12.568,35.95,0.166,12.463165,0.006760,11.635400,11.649163
2,"--host fct-deei-linux:3",3,17.766,36.361,0.195,17.654393,0.006308,16.773590,16.787907
3,"--host fct-deei-linux:3",3,19.729,38.439,0.262,19.599582,0.017554,18.558862,18.575121
4,"--host fct-deei-linux:3",3,20.007,37.528,0.287,19.885391,0.018300,18.678718,18.899062
5,"--host fct-deei-linux:3",3,19.966,38.15,0.221,19.846085,0.022790,17.956192,18.821872
6,"--host fct-deei-linux:3",3,19.963,37.871,0.239,19.849915,0.015320,18.806053,18.836883
7,"--host fct-deei-linux:3",3,25.013,37.142,0.202,24.911113,0.014151,23.542946,23.575212
8,"--host fct-deei-linux:3",3,22.577,37.284,0.218,22.404540,0.019061,20.833599,21.277051
9,"--host fct-deei-linux:3",3,21.509,37.062,0.192,21.404162,0.023448,19.702707,20.089172
10,"--host fct-deei-linux:3",3,21.058,37.844,0.25,20.884405,0.008569,19.211487,19.900699
11,"--host fct-deei-linux:3",3,16.592,36.321,0.149,16.480797,0.030087,15.398173,15.441889
12,"--host fct-deei-linux:3",3,15.922,36.288,0.255,15.819173,0.006686,14.956167,14.971057
13,"--host fct-deei-linux:3",3,16.466,37.111,0.256,16.370594,0.006721,15.029812,15.406767
14,"--host fct-deei-linux:3",3,16.305,37,0.289,16.200364,0.010834,15.023250,15.254373
15,"--host fct-deei-linux:3",3,16.479,37.43,0.329,16.365481,0.018544,14.855226,15.423534
16,"--host fct-deei-linux:3",3,16.423,36.917,0.279,16.324859,0.011538,15.373447,15.389899
17,"--host fct-deei-linux:3",3,16.061,36.899,0.224,15.958659,0.013220,14.937107,15.121692
18,"--host fct-deei-linux:3",3,17.318,37.053,0.277,17.225583,0.017406,14.688776,16.239358
19,"--host fct-deei-linux:3",3,19.905,36.661,0.186,19.737111,0.010137,18.353800,18.780372
20,"--host fct-deei-linux:3",3,16.689,37.629,0.314,16.577601,0.010554,15.200387,15.591147
21,"--host fct-deei-linux:3",3,16.398,37.634,0.243,16.275185,0.006618,15.090045,15.354523
22,"--host fct-deei-linux:3",3,16.1,36.943,0.283,15.976473,0.006940,14.882771,15.023399
23,"--host fct-deei-linux:3",3,16.171,36.859,0.252,16.059522,0.009161,14.903447,15.212739
24,"--host fct-deei-linux:3",3,16.139,36.786,0.309,16.032342,0.014473,15.137246,15.167993
25,"--host fct-deei-linux:3",3,17.04,38.087,0.299,16.919658,0.007429,14.978701,15.882811
26,"--host fct-deei-linux:3",3,16.912,38.123,0.314,16.819298,0.007145,14.952332,15.891089
27,"--host fct-deei-linux:3",3,16.72,37.623,0.26,16.602489,0.012548,14.979052,15.651588
28,"--host fct-deei-linux:3",3,16.964,38.45,0.271,16.846594,0.007571,15.304621,16.024585
29,"--host fct-deei-linux:3",3,20.523,46.2,0.526,20.411775,0.011592,19.392050,19.419446
30,"--host fct-deei-linux:3",3,16.474,37.292,0.253,16.365895,0.013722,15.387038,15.452032
Uptime depois da execução:  17:54:25 up  3:40, 15 users,  load average: 4.94, 4.83, 4.09
Média,"--host fct-deei-linux:3",3,17.9252,37.5647,0.26,17.8091,0.0128396,16.4841,16.8371
Uptime antes da execução:  17:54:25 up  3:40, 15 users,  load average: 4.94, 4.83, 4.09
1,"--host fct-deei-linux:4",4,15.455,38.093,0.324,15.338781,0.011449,13.442542,14.321509
2,"--host fct-deei-linux:4",4,15.074,37.189,0.302,14.960698,0.006923,13.387424,14.004163
3,"--host fct-deei-linux:4",4,15.408,38.103,0.372,15.298048,0.015186,14.257738,14.296170
4,"--host fct-deei-linux:4",4,15.549,38.358,0.371,15.452617,0.006479,13.269856,14.466269
5,"--host fct-deei-linux:4",4,15.289,37.308,0.283,15.164687,0.006629,13.998737,14.233913
6,"--host fct-deei-linux:4",4,15.606,38.436,0.349,15.510015,0.006274,14.042106,14.577599
7,"--host fct-deei-linux:4",4,15.475,38.442,0.27,15.374836,0.018420,13.666021,14.394516
8,"--host fct-deei-linux:4",4,21.21,53.414,0.602,21.094419,0.013951,17.066607,20.093526
9,"--host fct-deei-linux:4",4,15.945,39.386,0.301,15.838460,0.006940,14.403911,14.896420
10,"--host fct-deei-linux:4",4,17.187,40.662,0.453,17.073874,0.006920,14.168292,16.004493
11,"--host fct-deei-linux:4",4,19.49,45.373,0.526,19.381445,0.007270,17.877938,18.281165
12,"--host fct-deei-linux:4",4,17.317,42.347,0.442,17.202907,0.016652,14.262881,16.176994
13,"--host fct-deei-linux:4",4,16.233,39.857,0.315,16.120198,0.017173,14.657642,15.119514
14,"--host fct-deei-linux:4",4,15.934,39.402,0.365,15.831806,0.007161,14.009674,14.799808
15,"--host fct-deei-linux:4",4,16.041,39.762,0.291,15.945234,0.014316,13.426006,14.947333
16,"--host fct-deei-linux:4",4,16.084,39.623,0.325,15.975808,0.006815,14.779170,14.967948
