Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  16:59:57 up  2:45, 25 users,  load average: 2.82, 3.38, 2.61
1,10.119,36.383,0.089,9.164767
2,10.157,36.835,0.092,9.220340
3,10.075,36.392,0.092,9.147449
4,10.783,36.425,0.1,9.810222
5,9.848,36.291,0.088,8.908922
6,9.902,36.4,0.084,8.951487
7,9.898,36.407,0.064,8.940348
8,9.859,36.205,0.14,8.911194
9,10.039,36.199,0.1,9.094255
10,9.725,35.846,0.104,8.784691
11,9.752,35.882,0.116,8.806000
12,9.803,36.222,0.084,8.867513
13,9.938,36.641,0.104,9.007226
14,10.04,36.187,0.104,9.111794
15,9.832,36.287,0.108,8.899233
16,9.802,36.09,0.096,8.847313
17,11.033,35.999,0.115,10.104577
18,9.918,36.63,0.052,8.979612
19,9.975,36.541,0.088,9.020608
20,9.894,36.424,0.096,8.942388
21,9.704,35.88,0.068,8.773275
22,11.118,36.206,0.116,10.189931
23,12.353,36.778,0.116,11.408254
24,12.486,36.419,0.176,11.506101
25,10.537,36.363,0.148,9.547455
26,10.227,36.266,0.196,9.268889
27,10.404,36.698,0.18,9.442381
28,10.087,36.217,0.156,9.156210
29,12.408,36.588,0.144,11.470573
30,12.117,36.462,0.072,11.169903
Média,10.3944,36.3387,0.1096,9.4484
Total,311.833,1090.16,3.288,283.452
Uptime depois da execução:  17:05:21 up  2:51, 23 users,  load average: 3.88, 3.85, 3.06
